job_title,job_description,salary,location,position,company,date
"VP/AVP, Data Analyst, Treasury and Markets – Business Management & Support","VP/AVP, Data Analyst, Treasury and Markets – Business Management & Support 
                    DBS. Living, Breathing Asia. 
DBS is a leading financial services group in Asia, with over 280 branches across 18 markets. Headquartered and listed in Singapore, DBS has a growing presence in the three key Asian axes of growth: Greater China, Southeast Asia and South Asia. The bank's capital position, as well as ""AA-"" and ""Aa1"" credit ratings, is among the highest in Asia-Pacific. DBS has been recognised for its leadership in the region, having been named ""Asia's B…
    ",Competitive,Hong Kong,"Permanent, Full time",DBS Bank (Hong Kong) Limited,Updated on: 18 Mar 18
Associate Dir. - Data Operations Manager,"Associate Dir. - Data Operations Manager 
                    Analyze the data processing and more complex calculations that feed the company's credit risk measurement and management products. 
Manage and oversee a team of Data Operations professionals. 
Analyze data from potential data providers. 
Provide team oversight for published documentation designed to inform and assist clients and prospects in understanding the firm's data offerings. 
Manage the resolution of issues involving financial data errors during data processing and calculations, and coordina…
    ",Competitive,"Shenzhen, Guangdong Sheng, China","Permanent, Full time",Moody's,Updated on: 18 Mar 18
Data Architect (For a 12 months contract),"HKEX is implementing third party software solutions as part of technical upgrade and modernization of its Post-Trade business areas including Risk, Collateral, Clearing and CSD services. The objective of the Next Gen Platform is to introduce modern and flexible software platforms to support HKEX’s strategic business developments. The NextGen Post Trade platform roll-outs will be multi year and taking a phased approach. As part of the programme, HKEX is building and implementing a Data warehouse. 
                    Job Responsibilities: 
Work closely with bu…
    ",Competitive,Hong Kong,"Contract, Full time",Hong Kong Exchanges and Clearing Limited,Updated on: 15 Mar 18
Retail Banking - Risk/Data Modellling,"Role Overview: The retail banking - risk/data modelling manager will join a growing division under the international bank's retail banking business on retail credit portfolios through the use of advanced analytic. This is a one-year contract with a strong chance to convert into permanent staff based on good performance. 
                    Key Responsibilities:
Design strategy to make better use of existing scorecards by reducing complexity and increasing transparency of segmentation.
Oversight of the retails portfolio in terms of risk undertaking, profitabi…
    ",Attractive,Hong Kong,"Temporary, Full time",Robert Walters Hong Kong,Posted on: 13 Mar 18
Data Architect - Top Chinese Bank,"Data Architect - Top Chinese Bank 
                    Data Architect - Top Chinese Bank
Your new company
Your new company is a leading Chinese Bank in Hong Kong. Due to the company's rapid expansion, they are looking for an experienced Data Architect to join their team.
Your new role
In your new role, you will be responsible for their data architecture improvements based on their business information and requirements. You will need to ensure data standards and provide guidance for their Big Data regional big data projects. You will provide standards for thei…
    ",Negotiable,Hong Kong,"Permanent, Full time",Hays Information Technology Hong Kong,Posted on: 22 Feb 18
"Vice President / Assistant Vice President (Data Governance Lead), Data Management and Analytics, Technology and Operations","Vice President / Assistant Vice President (Data Governance Lead), Data Management and Analytics, Technology and Operations 
                    DBS. Living, Breathing Asia.  
DBS is a leading financial services group in Asia, with over 280 branches across 18 markets. Headquartered and listed in Singapore, DBS has a growing presence in the three key Asian axes of growth: Greater China, Southeast Asia and South Asia. The bank's capital position, as well as ""AA-"" and ""Aa1"" credit ratings, is among the highest in Asia-Pacific. DBS has been recognised for its lead…
    ",Competitive,Hong Kong,"Permanent, Full time",DBS Bank (Hong Kong) Limited,Updated on: 18 Mar 18
"Enterprise Data - Licensing Manager APAC, Hong Kong","Enterprise Data - Licensing Manager APAC, Hong Kong 
                    We're Bloomberg Enterprise Data - fast paced, innovative and expanding. We have worked hard and smart to become the successful business we are today. We partner closely with our clients, taking time to understand their unique businesses and individual data and technology needs. Our endless selection of datasets, covering all asset types, with multiple delivery technologies and flexible scheduling mean our clients are able to get exactly the data they need, when they need it, in the forma…
    ",Competitive,Hong Kong,"Permanent, Full time",Bloomberg,Updated on: 17 Mar 18
"Enterprise Data – Sales Support, Hong Kong","Enterprise Data – Sales Support, Hong Kong 
                    We're Bloomberg Enterprise Data - fast paced, innovative and expanding. We partner closely with our clients, taking time to understand their unique businesses and individual data and technology needs. Our endless selection of data-sets, covering all asset types, with multiple delivery technologies and flexible scheduling mean our clients are able to get exactly the data they need, when they need it, in the format they prefer. Without us, they simply can't operate. 
Firms that commit to utilizing …
    ",Competitive,Hong Kong,"Permanent, Full time",Bloomberg,Updated on: 17 Mar 18
Data Governance Manager - Global Retail Bank,"Global Retail bank is searching for a Data Governance Manager to join their team. 
                    Global Retail bank is searching for a Data Governance Manager to join their team.
Your new company
You will be joining a global retail bank who is already ahead in the industry in terms of big data strategy. They have a stable and growing Big Data team and are looking for a Manager level candidate to join their Data Governance team.
Your new role
In this role you will be responsible for:
Governing the data quality for projects focused on analytics and report…
    ",Negotiable,Hong Kong,"Permanent, Full time",Hays Digital Technology,Posted on: 14 Mar 18
"Assistant Manager, Human Resources (Compensation & Data Analysis)","Due to continued expansion, China Taiping Life Insurance (HK) Co., Ltd is seeking to hire an Assistant Manager for Human Resources covering Compensation & Data Analysis to join their growing team. 
                    Responsibilities:
Manage the survey or any data process from data collection/clarification, to job matching/validation, to survey submission and work with team to conduct detailed analysis and reports
Human capital reporting and analysis including commentary on headcount, turnover and hiring trends 
Compensation and promotion reporting and analy…
    ",Competitive,Hong Kong,"Permanent, Full time","China Taiping Life Insurance (HK) Co., Ltd",Updated on: 15 Mar 18
Big Data Specialist – Contract – International Bank,"Our client is a well-established IT solution provider in the region. They are now looking for specialist with relevant Big Data technologies and work on-site at a prominent bank. The bank is now undergoing a large scale transformation program, and you are expected to deliver architecture and implementations for the data domain of a function, and help optimizing complex systems. 
                    Responsibilities:
Provide design, architecture and implementation for the data domain of a function
Define data’s domain, data models and analyze data stores imple…
    ",Competitive,Hong Kong,"Contract, Full time","Gulf Connexions                    , EA Licence No:",Updated on: 12 Mar 18
"Financial Data Analyst, Financial Institutions Group (Mandarin Speaker)","Financial Data Analyst, Financial Institutions Group (Mandarin Speaker) 
                    Financial Data Analysts have a significant input to the ratings and research process by analyzing financial statements and data provided by Issuers. 
The FDA uses accounting and finance knowledge and judgment to perform financial statement analysis, adjust reported data per relevant methodology requirements and review and analyze ratios. 
Responsible for reviewing and understanding financial statements, official statements and other documents related to issuers' perfo…
    ",Competitive,Hong Kong,"Permanent, Full time",Moody's,Updated on: 18 Mar 18
"Financial Data Analyst, Corporate Finance Group (Mandarin Speaker) - 2 positions","Financial Data Analyst, Corporate Finance Group (Mandarin Speaker) - 2 positions 
                    Financial Data Analysts have a significant input to the ratings and research process by analyzing financial statements and data provided by Issuers. 
The FDA uses accounting and finance knowledge and judgment to perform financial statement analysis, adjust reported data per relevant methodology requirements and review and analyze ratios. 
Responsible for reviewing and understanding financial statements, official statements and other documents related to issue…
    ",Competitive,Hong Kong,"Permanent, Full time",Moody's,Updated on: 18 Mar 18
"Enterprise Data - KYC Sales and Account Manager, Hong Kong","Enterprise Data - KYC Sales and Account Manager, Hong Kong 
                    Know Your Customer (KYC) is a prerequisite for doing business in the financial markets. The cost of delays and regulatory breaches can result in significant fines and opportunity cost. Launched in 2015, KYC is a new Enterprise Solutions business vertical leveraging Bloomberg's core strengths to provide an efficient and unique solution which solves serious challenges for our clients. 
Our suite of KYC solutions help clients reduce time-to-trade, allowing them to make more money fas…
    ",Competitive,Hong Kong,"Permanent, Full time",Bloomberg,Updated on: 17 Mar 18
"Human Resources, Data & Compensation Manager, Associate/Manager/Director, Hong Kong","See job description for details 
                    Morgan Stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management and wealth management services. The Firm's employees serve clients worldwide including corporations, governments and individuals from more than 1,200 offices in 43 countries. 
Human Resources 
Morgan Stanley Human Resources provides advice and insight to attract, retain, reward and develop a talented global workforce, giving employees the support and tools they need to s…
    ",Competitive,Hong Kong,"Permanent, Full time",Morgan  Stanley,Updated on: 17 Mar 18
Hong Kong Quant Ai Firm Hiring Data Scientists,"Hong Kong based Quant AI firm recruiting PhD data scientists. 
                    Role:-
 
Identification of new data sets
Engaging with vendors to understand characteristics of datasets
Building processes and technology tools to ingest, tag and clean datasets
Analysis of datasets to generate descriptive statistics and propose potential applications of data
Research of potential “alpha signals” for presentation to Portfolio Managers .
Monitoring and enhancing the automated data collection and cleansing infrastructure.
Research on new technologies for improve…
    ",$ High,Hong Kong,"Permanent, Full time",Eka Finance,Updated on: 12 Mar 18
Manager Data and Information Management - Retail Banking and Wealth Management,"Some careers open more doors than others. 
                    If you’re looking to unlock new job opportunities, take a look at the possibilities right on your doorstep here at HSBC.
Retail Banking and Wealth Management serves more than 50 million customers worldwide with a complete range of banking and wealth management services to enable them to manage their finances and protect and build their financial futures. It is a global business that brings together management responsibility for Retail Banking, Wealth Management, Insurance and Asset Management with…
    ",Competitive,Hong Kong,"Permanent, Full time",HSBC,Posted on: 08 Mar 18
Digital Messaging Data and Reporting Specialist - Retail Banking and Wealth Management,"Some careers have more impact than others. 
                    If you’re looking for a role where you can continue to make an impression, take the next step at HSBC where your contributions will always be valued.
Retail Banking and Wealth Management serves more than 50 million customers worldwide with a complete range of banking and wealth management services to enable them to manage their finances and protect and build their financial futures. It is a global business that brings together management responsibility for Retail Banking, Wealth Management, Insur…
    ",Competitive,Hong Kong,"Permanent, Full time",HSBC,Posted on: 08 Mar 18
Digital Performance Specialist - Data Insight - Retail Banking and Wealth Management,"Some careers have more impact than others. 
                    If you’re looking for a role where you can continue to make an impression, take the next step at HSBC where your contributions will always be valued.
Retail Banking and Wealth Management serves more than 50 million customers worldwide with a complete range of banking and wealth management services to enable them to manage their finances and protect and build their financial futures. It is a global business that brings together management responsibility for Retail Banking, Wealth Management, Insur…
    ",Competitive,Hong Kong,"Permanent, Full time",HSBC,Posted on: 07 Mar 18
"Data Analyst in SQL, EXCEL (Team Lead) in Corporate and Investment Banking","Senior Data Analyst by using SQL, VBA, Alteryx, Tableau, $30,000 - $40,000 per month 
                    Our client is an International Banking Group in Hong Kong
Duty:
- Data Management including ensure data accuracy and controls
- Data extraction and report preparation
- Budget input, requirements and timelines, review mappings, workflows, monitor the budget process
- Fine tune database systems and applications
- Automation of data feed and storage
- Other Ad Hoc
 
Requirements:
 
- Degree Holder
- Minimum  4 years Data Analyst experience with team / peopl…
    ",N/A,Hong Kong,"Permanent, Full time",Global Associates,Updated on: 15 Mar 18
"C++ Developer / Low latency trading / High frequency trading / Quant trading / Options Market Making / C/C++ (Linux), Python, R, Ruby / Hedge Fund / Hong Kong","C++ Developer / Low latency trading / High frequency trading / Quant trading / Options Market Making / C/C++ (Linux), Python, R, Ruby / Hedge Fund / Hong Kong 
                     
My client is a global top tier hedge fund that focuses on low latency options market making, futures market making and delta 1 trading. To cope with strong business growth, they are now seeking to hire a C++ low latency developer to work on their electronic trading platform development.
The chosen candidate will be responsible for delivering IT solutions for existing and new produ…
    ",Excellent compensation packages,Hong Kong,"Permanent, Full time",BAH Partners,Updated on: 15 Mar 18
"C++ developer – high frequency trading – volatility trading – market making – Python, R, Ruby, KDB – warrants, options, arbitrage – proprietary trading – hedge fund – Hong Kong","C++ developer – high frequency trading – volatility trading – market making – Python, R, Ruby, KDB – warrants, options, arbitrage – proprietary trading – hedge fund – Hong Kong 
                    C++ Quantitative Developer – High Frequency Trading Hedge Fund
 
My client is a leading global hedge fund and proprietary trading house with offices in New York, Chicago, London and Hong Kong. They focus on low latency options market making, futures market making, delta 1 trading and execution services. As they continue to expand in Asia, they are looking for a sen…
    ",Excellent compensation packages,Hong Kong,"Permanent, Full time",BAH Partners,Updated on: 16 Mar 18
"Regional Benefits Analytics Leader, Health (Base in HK/ SG)","The Regional Benefits Analytics Leader will be responsible for generating and developing innovative Health consulting products and services to bring to local and regional health clients. The individual will be a key player in helping accelerate the growth of the Health business in Asia. He/She will be responsible for developing and expanding the value proposition, generating the opportunities and delivering the work in collaboration with the regional consulting team, cross line of business/OpCos, multinational consulting group teams and …
                
    ",Negotiation,Hong Kong,"Permanent, Full time",Mercer Hong Kong,Updated on: 18 Jan 18
Digital Product Manager - Commercial Banking,"Some careers prize diversity more than others. 
                    If you’re looking for a role where you will continue to be respected as an individual and valued for the contributions you make, remember how diversity drives success right here at HSBC.
HSBC Commercial Banking serves millions of businesses ranging from small, to large corporates, providing commercial customers with a full range of banking services including Global Trade and Receivables Finance, RMB solutions, multi-currency business accounts, payments and cash management, and wealth manageme…
    ",Competitive,Hong Kong,"Permanent, Full time",HSBC,Posted on: 15 Mar 18
Solution Architect - Digital,"Today we are looking for a role for a Solution Architect with a focus on the digital channel including internet, mobile and other emerging direct channels. This is a chance to join one of the fastest growing and exciting consultancies, with an opportunity to grow with the company as it expands. 
                    DIGITAL @ CAPCO 
Mobile payments. Social media. Big data. Technology is transforming the way banks do business - and how customers interact with their banks. Capco will give you the chance to help solve the challenges of the digital era for a smart…
    ",Negotiable,Hong Kong,"Permanent, Full time",Capco (The Capital Markets Company Ltd.),Posted on: 14 Mar 18
Security Administrator,"Establish&maintain system security administration Degree in Computer Science or related discipline Minimum 4 years’ hands-on development experience 
                    Responsibilities:
Establish and maintain daily system security administration and operations
Perform risk assessment and penetration test to ensure functioning of system activities and security measures
Perform system security and network issue analysis and investigation
Handle cyber threat analysis, anti-DDos service and enhance IT security system which aligns with Group ‘s requirements
Suppo…
    ",To be confirm,Hong Kong,"Permanent, Full time",OCBC Wing Hang Bank Limited,Updated on: 16 Mar 18
数据分析经理助理,"惟道风险研究院 
                    岗位职责：
1、根据风险项目要求，收集整理数据；
2、根据建模要求，对数据进行预处理；
3、长期追踪、更新数据，维持数据库。
 
任职资格：
1、硕士及以上学历，金融、数理和计算机等专业；
2、能根据研究需要，独立承担风险课题相关数据和行业研究数据的收集、追踪和数据库维护工作；
3、具备基本的数据处理能力；
4、具有1年以上金融机构信用风险量化分析岗位从业经历。
    ",17-26万,"Shenzhen, Guangdong Sheng, China","Permanent, Full time",中融国际信托,Posted on: 30 Oct 17
数据分析经理,"惟道风险研究院 
                    岗位职责：
1、根据风险研究项目要求，收集整理数据；
2、建立和修正风险测算模型；
3、对于具体行业、公司风险研究应用风险模型，完成数据分析和结论报告。
任职资格：
1、硕士及以上学历，金融、经济、统计、信息管理和计算机等专业；
2、熟练掌握SAS等统计软件，有实际风险建模经验、python项目经验者优先；
3、具有较强的数理分析能力，熟悉运用MATLAB，接受过系统性的计量经济学训练，对风险模型有较深刻的认识；
4、具有2-6年银行等金融机构信用风险量化分析岗位从业背景，有风险量化评级模型的搭建和修订经验。
    ",26-43万,"Shenzhen, Guangdong Sheng, China","Permanent, Full time",中融国际信托,Posted on: 27 Oct 17
"Associate, i3, GCNA","We are looking for Associate, i3, GCNA This role will be in the Financial Crime Compliance (FCC) team based in Hong Kong, responsible for data analytics. 
                    We are looking for Associate, i3, GCNA 
PURPOSE: 
This role will be in the Financial Crime Compliance (FCC) team based in Hong Kong, responsible for data analytics. The role will focus on several key areas: (i) conduct data ETL (ii) detailed analysis into data and identification of underlying FCC risk factors (iii) production of MI decks for key stakeholders on a regular basis (iv) admin…
    ",Negotiable,Hong Kong,"Permanent, Full time",Standard Chartered Bank Hong Kong,Posted on: 09 Mar 18
"Associate, i3, GCNA","We are looking for Associate, i3, GCNA This role will be in the Financial Crime Compliance (FCC) team based in Hong Kong, responsible for data analytics. 
                    The role will focus on several key areas: (i) conduct data ETL (ii) detailed analysis into data and identification of underlying FCC risk factors (iii) production of MI decks for key stakeholders on a regular basis (iv) administration and maintenance of MSSQL-based case management tool (""ML Register""), (v) work on intelligence & analytics research projects to identify specific financial …
    ",Negotiable,Hong Kong,"Permanent, Full time",Standard Chartered Bank Hong Kong,Posted on: 22 Jan 18
薪酬经理,"任职要求： 1、 大学本科及以上学历； 2、 5年以上大型公司、集团总部薪酬宏观规划类相关工作经验或咨询经验，有互联网、金融行业相关工作经验优先； 3、 具有较好的经营规划能力、数据分析能力及组织协调能力； 4、 工作认真细致，勤奋尽责，善于沟通合作，抗压性强 
                    岗位职责：
1、  基于集团相关管理制度，制定适用于大陆所薪酬管理的相关管理制度、福利政策等并负责推动执行；
2、  统筹三所年度预算工作；
3、  统筹制作各类薪酬分析报告、薪酬区间等；
4、  研究薪酬市场变化趋势，分析三所薪酬竞争力水平，为管理层决策提供参考；
5、  通过系统性培养与日常工作指导，提升下属的专业能力；
6、  负责与集团总部对口的沟通协调；
7、  上级交代的其他工作和临时性项目工作
    ",60,"Shenzhen, Guangdong Sheng, China","Permanent, Full time",匿名公司,Updated on: 13 Mar 18
Project Manager - Risk & Governance - Hong Kong,"Experienced Governance & Risk Project Manager required for a Data Privacy initiative with a large investment bank. 
                    Project Manager - Governance & Data Privacy - Hong Kong
Our client are a global investment bank. Working as part of their legal department, you will be responsible for the delivery projects around their data privacy, risk and governance framework.
Job Description:-
Delivery of a governance framework to the business
Work closely with the legal business to understand the requirements and provide appropriate project solutions
Pr…
    ",HKD55000.00 - HKD70000.00 per month,Hong Kong,"Contract, Full time",iKas International (Asia Pacific),Posted on: 02 Mar 18
Application Security Manager - Financial Crime Risk - Hong Kong,"Global Investment Bank requires a subject matter expertise in application security with a good understanding of all other aspects of security. The role will sit in the financial crime risk team Understanding of Big Data technologies such as Hadoop, Ab Initio, SAS and knowledge of intelligence analytics would be required. 
                    Identify and implement application security controls that go beyond the current offerings within the industry.
Ongoing oversight and management of the controls as the principal individual responsible for securing the appl…
    ","$1,300,000 + bonus",Hong Kong,"Permanent, Full time","Aquis Search                    , EA Licence No:",Posted on: 15 Feb 18
"Assistant Manager, Customer Insights & Analytics","One of the leading insurance firms is looking for an Assistant Manager, Customer Insights and Analytics individual to help them lead their data analytics team. 
                    Responsibilities
Lead and manage qualitative customer and brand research to understand consumer's changing needs (e.g. interviews)
Manage qualitative UX research to understand consumer's response to proposition and digital journey (e.g. prototype testing)
Lead data analysis of current digital marketing performance and marketing campaign optimisation (e.g. Google Analytics, Google A…
    ",Negotiable,Hong Kong,"Permanent, Full time",Robert Walters Hong Kong,Posted on: 16 Mar 18
"Senior Analyst Programmer (MS.NET, MVC, SOAP, REST)","Our recent client, is a consumer collection agency that gathers data from many sources including thousands of commercial/insurance group across the country. They are looking to hire a Regional Senior Analyst Programmer to join their Hong Kong team. 
                    Job Responsibilities:
You will be cover for the delivery of application solutions through technically design, coding, implementation of various custom platform as well as other global applications systems; Actively participate during the web application design process, and preparing technical s…
    ",Negotiable,Hong Kong,"Permanent, Full time",Robert Half Hong Kong,Posted on: 08 Mar 18
"Manager /Senior Manager, Digital Marketing Analytics","Our client is a medical insurance company and they are expanding their digital marketing team. They are looking for a curious, highly motivated analytics leader to help the company understnad the visitors and customers are interacting with their website. It will proactively provide insights to the marketing team and other business units, working with qualitative and quantitative data to derive insights and actionable recommendations. 
                    Key Responsibilities:
Partner with Digital Marketing team members to track, prioritize, and manage web ana…
    ",55K-66K,Hong Kong,"Permanent, Full time",IPS Group (Asia) Limited,Updated on: 16 Mar 18
Blockchain Architect / Blockchain Developer,"Walker Andersen are a leading provider of FinTech, Data Analytics, eDiscovery, Compliance, Fraud & Forensic recruitment services across Hong Kong and China. Walker Andersen have partnered with a number of high profile, international businesses here Hong Kong within the Blockchain space. We are interested in talking to Solution Architects and Developers with hands on experience working with Blockchain Technology. 
                    Responsibilities you can expect to undertake include working in a team developing Blockchain solutions. We are looking for Archi…
    ",Above market rate,Hong Kong,"Permanent, Full time","Walker Andersen                    , EA Licence No:",Updated on: 14 Mar 18
Quantitative Researcher,"My client is a top Hong Kong hedge fund, specialising in using data and research to drive their trading. Using various quantitative approaches, my client has exposure to over 90 different financial markets, and trades a variety of assets including fixed income, equities, commodities and fx. 
                    Quantitative Researcher
 
Hong Kong
 
Company Details
 
My client is a top Hong Kong hedge fund, specialising in using data and research to drive their trading. Using various quantitative approaches, my client has exposure to over 90 different financia…
    ",Industry Lead,Hong Kong,"Permanent, Full time",Anson McCade,Updated on: 13 Mar 18
"Advisory - Risk - Cyber Security - Manager/Senior Associate (GPEN, OSCE, OSEE, GWAPT, OSWE)","Cyber threats, social media, massive data storage, privacy requirements and continuity of the business as usual require heavy information security measures. As a cyber security specialist, you will lead the implementation of security solutions for our clients and support the clients in their desire to protect 
                    Cyber threats, social media, massive data storage, privacy requirements and continuity of the business as usual require heavy information security measures. As a cyber security specialist, you will lead the implementation of security…
    ",to be discussed,Hong Kong,"Permanent, Full time",Ernst & Young Hong Kong,Posted on: 07 Mar 18
Information Security Analyst (21926BR),"Provides support for data systems security problems. Processes logon id/user access requests. Maintains and tracks the status of documents. Reviews access requests for proper authorizations and produces reports to assist customers in reviewing accesses. Assists in the review of existing systems security issues and procedures. Develops and maintains familiarity with bank procedures and policies. May provide support for testing, emergencies, installations, and conversions. May assist in audit compliance projects. 
                    Required skills and experie…
    ",Competitive Salary,Hong Kong,"Permanent, Full time",Wells Fargo Bank,Updated on: 16 Mar 18
量化风控岗（quant risk）,"1、金融、经济、计算机、统计、物理等相关专业，硕士及以上学历，具有数量金融、金融工程等背景，CFA，FRM优先； 2、具有扎实的风险管理的理论知识，具有3年以上金融行业风险管理工作经验； 3、较强的数据分析能力，熟练运用Matlab或VBA或C++等编程工具； 
                    职位描述：
 
工作职责：
1、全面负责市场风险、流动性风险等投资风险的评估、监控与管理；
2、针对识别的新风险进行量化建模，进行风险模拟、压力测试等数据分析工作；
3、负责内部基金投资风格与绩效的评估与管理工作，使用Barra等业绩归因模型对基金绩效进行评估，设计并建立内部投资风格与绩效评估系统；
4、维护风险数据库，出具风险分析报告；持续优化风控指标监控系统和风控模型；运用数理分析统计工具，开发或完善公司现有的风控系统。
5、针对各类型风险，根据公司的风险战略，风险管理制度等，协助制订或修改风险管理流程、风险控制标准，并负责相关风险管理制度与流程的执行和落实。
 
任职要求：
1、金融、经济、计算机、统计、物理等相关专业，硕士及以上学历，具有数量金融、金融工程等背景，CFA，FRM优先；
2、具有扎实的风险管理的理论知识，具有3年以上金融行业风险管理工作经验；
3、较强的数据分析能力，熟练运用Matlab或VB…
    ",250000,"Shenzhen, Guangdong Sheng, China","Permanent, Full time",Jasper Capital,Updated on: 16 Mar 18
